,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
164,Link,4550 38th Ave SW,Seattle,WA,98126,Fairmount Park,https://www.apartments.com/link-seattle-wa/fxs5z3t/,92,52,51,67
165,Dexter Lake Union,1211-1215 Dexter Ave N,Seattle,WA,98109,Westlake,https://www.apartments.com/dexter-lake-union-seattle-wa/94bqjf6/,85,76,76,70
166,Adell Apartments,4532 SW 42nd Ave,Seattle,WA,98116,West Seattle,https://www.apartments.com/adell-apartments-seattle-wa/d14ergl/,98,52,58,70
167,Ivy Ridge,4730 21st Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/ivy-ridge-seattle-wa/wcyj04k/,86,81,83,74
168,Brookstone,3231 S 204th St,Seattle,WA,98198,Seatac,https://www.apartments.com/brookstone-seattle-wa/5cbj7vn/,42,56,37,61
169,Belgrove Court,1808 Bellevue Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/belgrove-court-seattle-wa/e1vjg6q/,99,95,77,63
170,Promenade at the Park Apartment Homes,3215 NE 143rd St,Seattle,WA,98125,Lake City,https://www.apartments.com/promenade-at-the-park-apartment-homes-seattle-wa/c67n2xe/,64,50,78,71
171,Centerline,1420 NE 65th St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/centerline-seattle-wa/63dfd1v/,96,69,74,68
172,Summit Flats at The Hill Collective,1103 Summit Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/summit-flats-at-the-hill-collective-seattle-wa/wxcn41k/,99,96,92,66
173,8th + Republican,430 Eighth Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/8th-republican-seattle-wa/8mbpsq2/,96,86,87,66
174,Dimension,225 Cedar St,Seattle,WA,98121,Belltown,https://www.apartments.com/dimension-seattle-wa/01kp2y3/,99,96,83,66
175,Mosaic on Greenwood,13543 Greenwood Ave N,Seattle,WA,98133,Broadview,https://www.apartments.com/mosaic-on-greenwood-seattle-wa/yhm70ds/,65,48,63,73
176,Willows Court Apartment Homes,12316 28th Ave NE,Seattle,WA,98125,Lake City,https://www.apartments.com/willows-court-apartment-homes-seattle-wa/0j92tn0/,88,58,67,71
177,JUXT,810 Dexter Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/juxt-seattle-wa/zm47ytw/,90,81,91,67
178,John Winthrop Apartments,1020 Seneca St,Seattle,WA,98101,First Hill,https://www.apartments.com/john-winthrop-apartments-seattle-wa/c886jld/,98,100,86,63
179,Cielo,800 Seneca St,Seattle,WA,98101,First Hill,https://www.apartments.com/cielo-seattle-wa/teysb79/,98,100,75,61
180,Bellevue Manor & Iliad,412 Bellevue Ave E,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/bellevue-manor-iliad-seattle-wa/ypxybpt/,96,83,76,65
181,The Westside,801 E Thomas St,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/the-westside-seattle-wa/dp1ykdh/,99,80,91,66
182,Orion,910 John St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/orion-seattle-wa/sjcjs87/,98,89,78,64
183,Tellus on Dexter,403 Dexter Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/tellus-on-dexter-seattle-wa/2t6p4k8/,94,88,84,65
184,Harrison Square,312 2nd Ave W,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/harrison-square-seattle-wa/kgz15p9/,92,69,72,
185,Amesbury Court Apartments,13739 Linden Ave N,Seattle,WA,98133,Bitter Lake,https://www.apartments.com/amesbury-court-apartments-seattle-wa/2m1ych9/,72,51,69,72
186,Westlake Steps,1207 Westlake Ave N,Seattle,WA,98109,Westlake,https://www.apartments.com/westlake-steps-seattle-wa/9wpsv97/,78,76,87,68
187,Skye at Belltown,500 Wall St,Seattle,WA,98121,Belltown,https://www.apartments.com/skye-at-belltown-seattle-wa/cvvye8f/,99,99,85,59
188,The Enclave,525 NE Northgate Way,Seattle,WA,98125,Maple Leaf,https://www.apartments.com/the-enclave-seattle-wa/d28m6wl/,93,66,70,68
189,Maple Leaf Plaza,2021 NE 90th St,Seattle,WA,98115,Maple Leaf,https://www.apartments.com/maple-leaf-plaza-seattle-wa/ht15g72/,62,51,74,69
190,Union SLU,905 Dexter Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/union-slu-seattle-wa/vk13mkg/,89,78,87,69
191,Theory U District,4735 15th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/theory-u-district-seattle-wa/gd2xwbw/,99,84,90,69
192,Modera South Lake Union,435 Dexter Ave N,Seattle,WA,98109,Seattle,https://www.apartments.com/modera-south-lake-union-seattle-wa/mdyqhmj/,94,86,84,64
193,Willow Court Apartments,6901 Delridge Way SW,Seattle,WA,98106,High Point,https://www.apartments.com/willow-court-apartments-seattle-wa/hretqj0/,41,47,65,73
194,TraVigne on Eleventh Avenue,4726 11th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/travigne-on-eleventh-avenue-seattle-wa/9ncjl47/,98,84,95,66
195,Cedar Park Senior Affordable Apartments,12740 30th Ave NE,Seattle,WA,98125,Lake City,https://www.apartments.com/cedar-park-senior-affordable-apartments-seattle-wa/gngssvw/,89,57,83,71
196,Quintessa Apartments,201 Yesler Way,Seattle,WA,98104,Pioneer Square,https://www.apartments.com/quintessa-apartments-seattle-wa/fwdr4rt/,98,100,82,66
197,Midtown Square,2301 E Union St,Seattle,WA,98122,Mann,https://www.apartments.com/midtown-square-seattle-wa/jkm2814/,93,63,98,71
198,Theo,815 NE 66th St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/theo-seattle-wa/qt5qr9w/,97,68,98,62
199,Kulle Urban Living,1815 Bellevue Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/kulle-urban-living-seattle-wa/2lnd318/,99,95,73,63
200,Washington Terrace Senior Affordable Apart...,120 6th Ave S,Seattle,WA,98104,Pioneer Square,https://www.apartments.com/washington-terrace-senior-affordable-apart-seattle-wa/1t52ye5/,98,100,68,62
201,Iron Flats,828 NE 66th St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/iron-flats-seattle-wa/dn77lzl/,95,59,93,62
202,Avalon Micro Studios,3268 SW Avalon Way,Seattle,WA,98126,Fairmount Park,https://www.apartments.com/avalon-micro-studios-seattle-wa/k0811y9/,87,55,67,69
203,Hillview,12825 60th Ln S,Seattle,WA,98178,Bryn Mawr-Skyway,https://www.apartments.com/hillview-seattle-wa/v1ymrdf/,30,27,68,
204,THAI BINH APARTMENTS,913 S Jackson St,Seattle,WA,98104,Chinatown,https://www.apartments.com/thai-binh-apartments-seattle-wa/cp71zlf/,98,100,83,62
205,Coronado Springs,1400 SW 107th St,Seattle,WA,98146,White Center,https://www.apartments.com/coronado-springs-seattle-wa/yv94tct/,62,58,74,
206,Polaris at Rainier Beach,9400 Rainier Ave S,Seattle,WA,98118,Dunlap,https://www.apartments.com/polaris-at-rainier-beach-seattle-wa/s19sfl7/,79,49,56,70
207,TRESSA,14200 Linden Ave N,Seattle,WA,98133,Bitter Lake,https://www.apartments.com/tressa-seattle-wa/g8xtqcx/,76,52,78,71
208,Axis,123 2nd Ave N,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/axis-seattle-wa/8j6c370/,94,86,71,69
209,REO Flats,1525 14th Ave,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/reo-flats-seattle-wa/psbf27v/,99,78,85,66
210,Parla,9176 Holman Rd NW,Seattle,WA,98117,Crown Hill,https://www.apartments.com/parla-seattle-wa/dh0qy5j/,82,53,72,72
211,Maison Royale Apartments,4529 44th Ave SW,Seattle,WA,98116,Junction,https://www.apartments.com/maison-royale-apartments-seattle-wa/bx5cxw8/,97,51,71,71
212,Sunset Electric,1111 E Pine St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/sunset-electric-seattle-wa/n36rghn/,100,83,87,67
213,ELLIOTT BAYVIEW APARTMENTS,151 John St,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/elliott-bayview-apartments-seattle-wa/q12l5sy/,94,86,67,68
214,Janus Apartments,121 NW 85th St,Seattle,WA,98117,Greenwood,https://www.apartments.com/janus-apartments-seattle-wa/fbcqkwr/,93,53,88,70
215,The Cavanaugh,3539 27th Pl W,Seattle,WA,98199,Lawton Park,https://www.apartments.com/the-cavanaugh-seattle-wa/33z196e/,52,43,46,80
216,Green Lake Village,427 NE 72nd St,Seattle,WA,98115,Green Lake,https://www.apartments.com/green-lake-village-seattle-wa/dv08thk/,95,66,95,64
217,June on South Lake,1622 Aurora Ave N,Seattle,WA,98109,Lake Union,https://www.apartments.com/june-on-south-lake-seattle-wa/jvnjws4/,74,69,72,70
218,Alto,311 Cedar St,Seattle,WA,98121,Belltown,https://www.apartments.com/alto-seattle-wa/35y5bce/,99,96,83,66
219,ArtHouse,2334 Elliott Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/arthouse-seattle-wa/dgwn88h/,97,99,62,63
220,Beryl Apartments,1200 E Pike St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/beryl-apartments-seattle-wa/q1swe6x/,99,80,86,67
221,Holden Court,931 SW Holden St,Seattle,WA,98106,Highland Park,https://www.apartments.com/holden-court-seattle-wa/jqxphd5/,57,45,51,75
222,Epicenter,620 N 34th St,Seattle,WA,98103,Fremont,https://www.apartments.com/epicenter-seattle-wa/j3dvz74/,98,61,92,68
223,Mercer Crest Apartments,500 W Mercer St,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/mercer-crest-apartments-seattle-wa/mfh653j/,84,61,70,71
224,1421 & 1418 on Queen Anne,1421 2nd Ave N,Seattle,WA,98109,Queen Anne,https://www.apartments.com/1421-1418-on-queen-anne-seattle-wa/21vznjc/,87,70,53,74
225,Greenwood Place Apartments,14307 Greenwood Ave N,Seattle,WA,98133,Broadview,https://www.apartments.com/greenwood-place-apartments-seattle-wa/xdm7kgp/,59,49,49,69
226,The Savoy at Lake City,13730 Lake City Way NE,Seattle,WA,98125,Lake City,https://www.apartments.com/the-savoy-at-lake-city-seattle-wa/9xfx7r4/,70,53,69,69
227,Vitality on 17th,5512 17th Ave NW,Seattle,WA,98107,Ballard,https://www.apartments.com/vitality-on-17th-seattle-wa/tbbrrdb/,97,54,96,66
228,HERE Seattle Student Apartments,4732 Brooklyn Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/here-seattle-student-apartments-seattle-wa/vfbbrnf/,99,84,95,65
229,Crew Apartments,8228 Green Lake Dr N,Seattle,WA,98103,Green Lake,https://www.apartments.com/crew-apartments-seattle-wa/84kgh33/,86,55,82,71
230,Mayn Suites,315 Maynard Ave S,Seattle,WA,98104,Chinatown,https://www.apartments.com/mayn-suites-seattle-wa/53s506p/,99,100,84,62
231,Sorento Flats,1414 E Yesler Way,Seattle,WA,98122,Minor,https://www.apartments.com/sorento-flats-seattle-wa/bfnjskb/,92,87,84,70
232,Gregory Gene Apartments,1500 E Cherry St,Seattle,WA,98122,Minor,https://www.apartments.com/gregory-gene-apartments-seattle-wa/hmq41n0/,88,77,84,71
233,EMERALD PLACE,13437 Greenwood Ave N,Seattle,WA,98133,Bitter Lake,https://www.apartments.com/emerald-place-seattle-wa/b7f0fv8/,57,48,63,73
234,4400 Alaska,4400 SW Alaska St,Seattle,WA,98116,Junction,https://www.apartments.com/4400-alaska-seattle-wa/3ht18me/,97,51,71,71
235,Cambridge Park Villa,6801 S 133rd St,Seattle,WA,98178,Bryn Mawr-Skyway,https://www.apartments.com/cambridge-park-villa-seattle-wa/0wnvy13/,21,6,73,
236,Alki 12 & 5630,3036-3040 60th Ave SW,Seattle,WA,98116,Alki,https://www.apartments.com/alki-12-5630-seattle-wa/3qcym1d/,63,34,69,73
237,Balfour Place,1820 Minor Ave,Seattle,WA,98101,Denny Triangle,https://www.apartments.com/balfour-place-seattle-wa/hrqzpe1/,98,99,80,62
238,Sheridan Beach Terrace,15530 Bothell Way NE,Lake Forest Park,WA,98155,Sheridan Beach,https://www.apartments.com/sheridan-beach-terrace-lake-forest-park-wa/yt6f2ms/,33,57,75,
239,The Cedars,2615 1st Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/the-cedars-seattle-wa/0q3v1h2/,98,95,63,66
240,Stratus,820 Lenora St,Seattle,WA,98121,Denny Triangle,https://www.apartments.com/stratus-seattle-wa/11r6ep5/,100,100,75,59
241,509 1st Ave W,509 1st Ave W,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/509-1st-ave-w-seattle-wa/h7h76k2/,96,70,79,69
242,19th & Mercer,526 19th Ave E,Seattle,WA,98112,Stevens,https://www.apartments.com/19th-mercer-seattle-wa/c39sm0d/,92,63,94,73
243,4730 California,4730 California Ave SW,Seattle,WA,98116,Junction,https://www.apartments.com/4730-california-seattle-wa/frvvjxr/,98,51,56,71
244,Prism,10711 8th Ave NE,Seattle,WA,98125,Maple Leaf,https://www.apartments.com/prism-seattle-wa/x9v2zem/,92,70,70,71
245,Carolina Court Apartment Homes,527 Eastlake Ave,Seattle,WA,98109,South Lake Union,https://www.apartments.com/carolina-court-apartment-homes-seattle-wa/pepz1js/,95,82,71,58
246,Keelson Ballard,1537 NW 56TH St,Seattle,WA,98107,Ballard,https://www.apartments.com/keelson-ballard-seattle-wa/10k94k7/,97,54,97,66
247,Rianna,810 12th Ave,Seattle,WA,98122,Minor,https://www.apartments.com/rianna-seattle-wa/vbs52re/,93,84,95,70
248,50th & Roosevelt,4750 Roosevelt Way NE,Seattle,WA,98105,University District,https://www.apartments.com/50th-roosevelt-seattle-wa/nrnk99p/,98,84,92,64
249,Pike Flats at The Hill Collective,722 E Pike St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/pike-flats-at-the-hill-collective-seattle-wa/zep5k7x/,100,92,87,65
250,The Martin,2105 5th Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/the-martin-seattle-wa/2v0jy28/,99,100,78,63
251,Astro Apartments,315 1st Ave N,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/astro-apartments-seattle-wa/zlt3kyz/,96,72,81,68
252,Uwajimaya Village,521 S Weller St,Seattle,WA,98104,Chinatown,https://www.apartments.com/uwajimaya-village-seattle-wa/3f2q02f/,98,100,92,64
253,80 MAIN Apartments,80 S Main St,Seattle,WA,98104,Pioneer Square,https://www.apartments.com/80-main-apartments-seattle-wa/8ydktb3/,96,100,89,66
254,Citizen,1222 E Madison St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/citizen-seattle-wa/vqv4lee/,99,81,86,65
255,Ballard Lofts,6450 24th Ave NW,Seattle,WA,98107,Ballard,https://www.apartments.com/ballard-lofts-seattle-wa/ln4hnze/,85,45,90,74
256,Cirrus,2030 8th Ave,Seattle,WA,98121,Denny Triangle,https://www.apartments.com/cirrus-seattle-wa/5dqy53m/,100,100,78,60
257,The Loop at Green Lake,407 NE 73rd St,Seattle,WA,98115,Seattle,https://www.apartments.com/the-loop-at-green-lake-seattle-wa/742mryz/,94,65,97,65
258,Panorama Apartments,1100 University St,Seattle,WA,98101,First Hill,https://www.apartments.com/panorama-apartments-seattle-wa/5em0kwq/,98,100,86,64
259,The Cornelius Apartments,306 Blanchard St,Seattle,WA,98121,Belltown,https://www.apartments.com/the-cornelius-apartments-seattle-wa/7tb4k0x/,99,100,81,63
260,306 Queen Anne,306 Queen Anne Ave N,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/306-queen-anne-seattle-wa/q1y7stx/,96,72,81,70
261,The Marlborough,1220 Boren Ave,Seattle,WA,98101,First Hill,https://www.apartments.com/the-marlborough-seattle-wa/8m5h781/,98,100,83,64
262,Uptown 11,11 W Mercer St,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/uptown-11-seattle-wa/vn651wf/,97,70,87,68
263,LaVie at Queen Anne,229 Queen Anne Ave,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/lavie-at-queen-anne-seattle-wa/vyr43fe/,94,73,73,70
264,Solara,12736 Lake City Way NE,Seattle,WA,98125,Lake City,https://www.apartments.com/solara-seattle-wa/02q9g91/,89,57,77,71
265,Elliott Pointe Apartments,2226 Elliott Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/elliott-pointe-apartments-seattle-wa/g0wwkhz/,97,100,86,62
266,2900 On First,2900 1st Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/2900-on-first-seattle-wa/6bc5xqv/,95,88,65,67
267,Metro on First,215 1st Ave W,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/metro-on-first-seattle-wa/ycyc6kv/,92,72,75,72
268,The Nelson,14300 Greenwood Ave N,Seattle,WA,98133,Bitter Lake,https://www.apartments.com/the-nelson-seattle-wa/99x4g96/,62,50,56,72
269,Cubix Northgate,1307 N Northgate Way,Seattle,WA,98133,North College Park,https://www.apartments.com/cubix-northgate-seattle-wa/zq1j5my/,88,68,66,72
270,Belay Apartments,6559 15th Ave NW,Seattle,WA,98117,Loyal Heights,https://www.apartments.com/belay-apartments-seattle-wa/6j25nht/,90,47,89,68
271,Gilbert House Apartments,1529 Queen Anne N,Seattle,WA,98109,Queen Anne,https://www.apartments.com/gilbert-house-apartments-seattle-wa/n08fd0m/,94,61,48,70
272,Charbonneau Apartments,1201 Boylston Ave,Seattle,WA,98101,First Hill,https://www.apartments.com/charbonneau-apartments-seattle-wa/n0m0h0n/,100,95,91,66
273,Montisi,4122 36th Ave SW,Seattle,WA,98126,West Seattle,https://www.apartments.com/montisi-seattle-wa/wjlzszj/,89,52,67,68
274,ORI ON THE AVE,5260 University Way NE,Seattle,WA,98105,University District,https://www.apartments.com/ori-on-the-ave-seattle-wa/dys23mh/,97,78,93,69
275,Cubix - 95,714 N 95th St,Seattle,WA,98103,Greenwood,https://www.apartments.com/cubix-95-seattle-wa/f2r8fks/,80,56,79,74
276,The Flats at Interbay,3036 16th Ave W,Seattle,WA,98119,Seattle,https://www.apartments.com/the-flats-at-interbay-seattle-wa/lkbxh1e/,73,53,87,65
277,Metroline Flats,915 E Spruce St,Seattle,WA,98104,First Hill,https://www.apartments.com/metroline-flats-seattle-wa/lk3v29g/,94,98,80,65
278,2300 Elliott,2300 Elliott Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/2300-elliott-seattle-wa/4n7xxvh/,97,99,76,62
279,Villa Andora,1520 California Ave SW,Seattle,WA,98116,North Admiral,https://www.apartments.com/villa-andora-seattle-wa/szr0eh4/,69,36,84,75
280,AVA Queen Anne,330 3rd Ave,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/ava-queen-anne-seattle-wa/xzw3r1m/,88,68,88,71
281,Vesper,1321-1323 Minor Ave,Seattle,WA,98101,First Hill,https://www.apartments.com/vesper-seattle-wa/9yt2vy6/,99,100,83,62
282,Viktoria,1915 2nd Ave,Seattle,WA,98101,Pike Place Market,https://www.apartments.com/viktoria-seattle-wa/vhsqwbf/,99,100,61,63
283,Upton Flats,3490 SW Graham St,Seattle,WA,98126,High Point,https://www.apartments.com/upton-flats-seattle-wa/j4k39z4/,71,50,66,75
284,Marketside Flats,84 Union St,Seattle,WA,98101,Pike Place Market,https://www.apartments.com/marketside-flats-seattle-wa/qzz66cx/,98,100,68,63
285,Session Apartments,1222 E Madison St,Seattle,WA,98122,Minor,https://www.apartments.com/session-apartments-seattle-wa/z4zj6qx/,90,65,97,70
286,Fox and Finch,525 Boren Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/fox-and-finch-seattle-wa/2vfz449/,98,84,72,65
287,Viva,1111 E Union St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/viva-seattle-wa/h47dk02/,100,84,94,67
288,The Wilcox,2003 NW 57th St,Seattle,WA,98107,Ballard,https://www.apartments.com/the-wilcox-seattle-wa/06gzr13/,98,53,97,71
289,Taylor 28,100 Taylor Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/taylor-28-seattle-wa/z14p66x/,98,97,84,63
290,6040 Cali Apartments,6040 California Ave SW,Seattle,WA,98136,Fairmount Park,https://www.apartments.com/6040-cali-apartments-seattle-wa/4zz5tzl/,82,48,74,74
291,The Audrey at Belltown,2922 Western Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/the-audrey-at-belltown-seattle-wa/snwyk77/,95,88,65,67
292,Canvas,600 Elliott Ave W,Seattle,WA,98119,Lower Queen Anne,https://www.apartments.com/canvas-seattle-wa/gs4m8my/,80,60,95,71
293,4029 Rainier Ave,4029 Rainier Ave S,Seattle,WA,98118,Columbia City,https://www.apartments.com/4029-rainier-ave-seattle-wa/h5h8553/,88,63,68,70
294,Delridge Crossing,2425 SW Webster St,Seattle,WA,98106,High Point,https://www.apartments.com/delridge-crossing-seattle-wa/ym21wdr/,46,48,60,78
295,Soren Apartments,5711 24th Ave NW,Seattle,WA,98107,Ballard,https://www.apartments.com/soren-apartments-seattle-wa/4gwlh0k/,98,52,89,70
296,Aperture on Fifth,206 5th Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/aperture-on-fifth-seattle-wa/wq94pvl/,97,87,85,66
297,Rooster Apartments,900 NE 65th St,Seattle,WA,98115,Seattle,https://www.apartments.com/rooster-apartments-seattle-wa/dm7bexl/,97,59,94,63
298,Noba Apartments,8022 15th Ave NW,Seattle,WA,98117,Whittier Heights,https://www.apartments.com/noba-apartments-seattle-wa/kngnh08/,88,53,76,70
299,The Station At Othello Park,4219 S Othello St,Seattle,WA,98118,Brighton,https://www.apartments.com/the-station-at-othello-park-seattle-wa/jbdwrp5/,88,66,84,70
300,Enve,1901 Franklin Ave E,Seattle,WA,98102,Eastlake,https://www.apartments.com/enve-seattle-wa/hbvdpd1/,84,58,71,65
301,Union Bay,526 Yale Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/union-bay-seattle-wa/l7flz7e/,95,82,62,
302,Westhaven Apartments,2201 SW Holden St,Seattle,WA,98106,South Delridge,https://www.apartments.com/westhaven-apartments-seattle-wa/yhsgsbv/,51,48,61,76
303,Campus View,4322 7th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/campus-view-seattle-wa/nf2e3dn/,95,84,83,65
304,Martinique,2122 8th Ave N,Seattle,WA,98109,Queen Anne,https://www.apartments.com/martinique-seattle-wa/vlklcyf/,71,66,72,71
305,Square One,1020 NE 63rd St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/square-one-seattle-wa/xlfdkdp/,97,72,99,66
306,Etta Ballard,1710 NW 57th St,Seattle,WA,98107,Ballard,https://www.apartments.com/etta-ballard-seattle-wa/3me996g/,97,54,94,67
307,Kavela,845 NE 66th St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/kavela-seattle-wa/xdfnwmm/,97,69,97,62
308,Junction 47,4209 SW Alaska St,Seattle,WA,98116,Junction,https://www.apartments.com/junction-47-seattle-wa/vqxedgg/,98,51,56,70
309,Lillehammer Apartments,7016 15th Ave NW,Seattle,WA,98117,Whittier Heights,https://www.apartments.com/lillehammer-apartments-seattle-wa/rs62rv2/,86,49,79,72
310,Elara at the Market,2134 Western Ave,Seattle,WA,98121,Belltown,https://www.apartments.com/elara-at-the-market-seattle-wa/15vbwd5/,98,100,63,64
311,Winston Apartments,1019 E Pike St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/winston-apartments-seattle-wa/tnsh0w8/,100,86,93,67
312,Expo,118 Republican St,Seattle,WA,98109,Lower Queen Anne,https://www.apartments.com/expo-seattle-wa/sbrljt6/,97,73,88,69
313,Boxcar South Lake Union,975 John St,Seattle,WA,98109,South Lake Union,https://www.apartments.com/boxcar-south-lake-union-seattle-wa/91dpdt4/,99,99,75,65
314,Reverie Beacon Hill,3309 Beacon Ave S,Seattle,WA,98144,North Beacon Hill,https://www.apartments.com/reverie-beacon-hill-seattle-wa/dh7bsbl/,79,70,95,72
315,Carkeek Park Place,431 NW 100th Pl,Seattle,WA,98177,Greenwood,https://www.apartments.com/carkeek-park-place-seattle-wa/bx1rt49/,81,54,73,70
316,Westview Apartment Homes,2525 14th Ave S,Seattle,WA,98144,North Beacon Hill,https://www.apartments.com/westview-apartment-homes-seattle-wa/fdtghfv/,85,73,89,67
317,Alcyone,301 Minor Ave N,Seattle,WA,98109,South Lake Union,https://www.apartments.com/alcyone-seattle-wa/gxmy4jw/,99,85,83,66
318,Clairemont Apartments,2010-2014 E Yesler Way,Seattle,WA,98122,Minor,https://www.apartments.com/clairemont-apartments-seattle-wa/c1tpq3e/,91,72,88,72
319,The Courtyard,4039 8th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/the-courtyard-seattle-wa/jc8wsf5/,92,83,87,66
320,Park 3025,3025 NE 137th St,Seattle,WA,98125,Lake City,https://www.apartments.com/park-3025-seattle-wa/pmzn0bv/,76,56,78,74
321,Vitality on Howell,1420 E Howell St,Seattle,WA,98122,Capitol Hill,https://www.apartments.com/vitality-on-howell-seattle-wa/x3jkxrq/,98,76,86,70
322,AJ Apartments,4505 42nd Ave SW,Seattle,WA,98116,Junction,https://www.apartments.com/aj-apartments-seattle-wa/n6erncm/,98,51,68,69
323,Mural,4727 42nd Ave SW,Seattle,WA,98116,Junction,https://www.apartments.com/mural-seattle-wa/mkb2s9j/,98,51,56,71
324,Monticello Apartments,415 Boren Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/monticello-apartments-seattle-wa/2bt4838/,96,100,79,65
